# submitted_item	validated_id	current_symbol
Q8IRA1	FBgn0052232	CG32232
Q9VZ78	FBgn0047330	CG32235
Q95U06	FBgn0046793	CG32236
Q9VZ79	FBgn0052237	CG32237
Q9VZ97	FBgn0052238	TTLL1B
Q9VZ85	FBgn0035574	RhoGEF64C
Q9W3Y0	FBgn0029885	CG3224
Q8I0L0	FBgn0052240	CG32240
Q8IRB3	FBgn0052241	CG32241
Q8MZ22	FBgn0052243	CG32243
Q8IRA7	FBgn0052246	CG32246
Q8IRB1	FBgn0052248	CG32248
Q8IRB2	FBgn0052249	CG32249
Q9VR29	FBgn0031631	CG3225
Q9VZD9	FBgn0052250	PMP34
Q8IRB5	FBgn0052251	Claspin
P83297	FBgn0052255	Gr64f
P83295	FBgn0045477	Gr64c
P83294	FBgn0045478	Gr64b
P83296	FBgn0045476	Gr64e
Q4QQ81	FBgn0052259	CG32259
Q9W3Y3	FBgn0029882	CG3226
M9PE97	FBgn0052260	CG32260
P83293	FBgn0045479	Gr64a
Q9VZM6	FBgn0052262	CG32262
Q8IRC8	FBgn0052263	CG32263
Q7YU16	FBgn0052264	CG32264
Q8MSE9	FBgn0052266	CG32266
Q8IRD0	FBgn0052267	CG32267
Q9VZQ4	FBgn0052268	Drsl6
Q8SYS8	FBgn0052269	CG32269
Q8SYK5	FBgn0031434	insv
Q8IRE0	FBgn0052270	CG32270
Q8IRE2	FBgn0052271	CG32271
Q9VZQ5	FBgn0052274	Drsl1
Q8SYY6	FBgn0047135	CG32276
Q8IRE1	FBgn0052277	CG32277
Q9VZU0	FBgn0052278	CG32278
Q7YXH9	FBgn0052279	Drsl2
O46072	FBgn0001330	kz
Q8IRE5	FBgn0052280	CG32280
Q8IRE4	FBgn0052281	CG32281
Q8IRD6	FBgn0052282	Drsl4
Q8IRD7	FBgn0052283	Drsl3
Q8MS92	FBgn0052284	CG32284
Q8MRL6	FBgn0260480	CG32295
Q9VZY2	FBgn0052296	Mrtf
Q8IRF1	FBgn0052298	CG32298
Q8IRF2	FBgn0052299	CG32299
Q7KVA1	FBgn0015360	oxt
E1JIB3	FBgn0052301	CG32301
Q9W030	FBgn0052302	CG32302
Q8IRF4	FBgn0052304	obst-I
Q8IRF5	FBgn0052305	CG32305
D5SHU1	FBgn0086129	snama
M9PBI0	FBgn0052313	CG32313
Q8T626	FBgn0024510	dlt
Q7KVC2	FBgn0052318	CG32318
Q8IRH2	FBgn0052319	Naa30B
Q8IRH3	FBgn0052320	CG32320
Q8MRM7	FBgn0052333	CG32333
Q8SXQ8	FBgn0063667	CG32335
P49021	FBgn0014396	tim
Q9W0R7	FBgn0052343	Atac3
Q8SY39	FBgn0052344	CG32344
Q9W0T1	FBgn0000541	E(bx)
Q8SX81	FBgn0052350	Vps11
Q9VSM7	FBgn0052351	S-Lap2
Q9VSK1	FBgn0052354	CG32354
Q7KUB3	FBgn0001253	ImpE1
Q8IQA2	FBgn0052364	tut
Q9VSB3	FBgn0052365	CG32365
Q8IQ94	FBgn0052368	CG32368
Q9VSB2	FBgn0052369	CG32369
Q8IQA0	FBgn0052371	CG32371
Q9VS84	FBgn0268063	ltl
Q8SYF5	FBgn0052373	CG32373
Q9VS87	FBgn0052374	CG32374
Q8IQ89	FBgn0052376	CG32376
Q9VS65	FBgn0052379	CG32379
Q9VQR3	FBgn0031540	Pif1
Q9VS60	FBgn0052380	SMSr
Q9VS41	FBgn0035756	unc-13-4A
Q9VS71	FBgn0052382	sphinx2
Q8IQ79	FBgn0052383	sphinx1
Q8T0J9	FBgn0250849	CG32388
Q9W4B8	FBgn0029769	frma
E1JI53	FBgn0052391	CG32391
Q9VRY7	FBgn0052392	Rsph3
Q8IQ72	FBgn0041232	CG32395
Q9VRX3	FBgn0052396	CG32396
M9NE38	FBgn0263973	jv
Q9VQD4	FBgn0026778	Rad1
C0HL62	FBgn0020644	Lcp65Ab1
P82982	FBgn0041625	Or65a
P82983	FBgn0041624	Or65b
P82984	FBgn0041623	Or65c
D0IQA9	FBgn0052404	Cpr65Aw
Q8I0P8	FBgn0052405	Cpr65Av
Q9VRS2	FBgn0052406	PVRAP
Q9VRR3	FBgn0052407	CG32407
Q8I937	FBgn0052409	CG32409
P50534	FBgn0005616	msl-2
Q9VRQ9	FBgn0052412	QC
Q8I936	FBgn0052413	CG32413
Q9NI63	FBgn0040298	Myt1
Q8SWS7	FBgn0052418	vito
Q9VQS7	FBgn0004892	sob
Q8MSV2	FBgn0052423	shep
Q7YU90	FBgn0052425	CG32425
Q9VPE6	FBgn0052428	CG32428
M9PG87	FBgn0052432	CG32432
Q8IPU5	FBgn0045474	Gr77a
Q6U9V3	FBgn0026179	siz
Q9NBD7	FBgn0021760	chb
Q9VP43	FBgn0052436	CG32436
Q9VP41	FBgn0052437	CG32437
M9PGC9	FBgn0052438	SMC5
Q8SZK9	FBgn0287234	slf
Q8IPT5	FBgn0052440	CG32440
Q8IPT1	FBgn0052441	EMC10
B7Z097	FBgn0052442	Arv1
P26017	FBgn0003042	Pc
Q9VP02	FBgn0043783	CG32444
Q8MR63	FBgn0052445	CG32445
M9PD88	FBgn0052446	Atox1
M9PIJ4	FBgn0052447	CG32447
Q8IPS9	FBgn0052448	CG32448
Q7KVM5	FBgn0025573	PpN58A
Q8MRL1	FBgn0052450	CG32450
A8JNX2	FBgn0052451	SPoCk
Q960E9	FBgn0052452	CG32452
Q9VNS7	FBgn0037177	CG14454
Q9VNS7	FBgn0052453	CG32453
Q8IPS7	FBgn0260481	CG32454
E1JI30	FBgn0052457	CG32457
Q9VNQ6	FBgn0052459	CG32459
Q9VQR0	FBgn0031538	CG3246
Q8IPS1	FBgn0052461	CG32461
Q8IPS5	FBgn0052462	CG32462
Q8IPZ0	FBgn0052463	Tengl2
Q9VNA1	FBgn0013576	mtd
Q8INH5	FBgn0052473	CG32473
A8JRD4	FBgn0039411	dysf
Q9W0V7	FBgn0052475	mthl8
Q8SYV9	FBgn0052476	mthl14
M9PDK3	FBgn0052479	Usp10
Q961G1	FBgn0031536	Cog3
Q8IRI8	FBgn0052483	CG32483
Q9VZW0	FBgn0052484	Sk2
Q8I941	FBgn0052485	CG32485
Q9VZV5	FBgn0266918	CG32486
Q9VZW4	FBgn0052487	CG32487
Q8SXC9	FBgn0052488	CG32488
Q9W4C4	FBgn0263987	spoon
Q8IPM8	FBgn0041605	cpx
Q86B87	FBgn0002781	mod(mdg4)
Q1RL06	FBgn0030882	Gss1
Q1RL06	FBgn0052495	Gss2
Q8IRU4	FBgn0000479	dnc
Q9VR69	FBgn0052499	Cda4
Q23971	FBgn0010401	Os-C
Q8SY96	FBgn0052857	CG32857
Q8SY96	FBgn0053502	CG33502
Q8SY96	FBgn0285970	CG32500
O76932	FBgn0023177	Pp4-19C
Q8IQ30	FBgn0052506	tbc
R9PY48	FBgn0052507	CG32507
Q9VR20	FBgn0031622	CG3251
F0JAF4	FBgn0052512	CG32512
G7H830	FBgn0031150	bves
Q9W4C5	FBgn0029762	NAAT1
Q9VRF7	FBgn0052521	CG32521
Q8IQ51	FBgn0052523	CG32523
Q9VWD0	FBgn0052528	parvin
Q2MGL2	FBgn0052529	Hers
Q9W1A7	FBgn0041706	CG3253
Q9VWI3	FBgn0044030	mRpS14
X2JL88	FBgn0052532	CG32532
Q9VWI5	FBgn0052533	CG32533
Q9VWJ3	FBgn0052536	CG32536
Q8IQX0	FBgn0052537	CG32537
E1JJR2	FBgn0086778	nAChRalpha7
Q6WV19	FBgn0031530	Pgant2
Q7M3J6	FBgn0030954	CCKLR-17D3
Q8IQX3	FBgn0052544	CG32544
Q59E37	FBgn0052547	CG32547
Q9VWU8	FBgn0052548	CG32548
Q9VWV2	FBgn0052549	CG32549
Q8IQY1	FBgn0052551	CG32551
Q8IQZ4	FBgn0052554	CG32554
Q9VX32	FBgn0026375	RhoGAPp190
Q9VX26	FBgn0263258	chas
Q9VX11	FBgn0052557	Mco4
X2JE68	FBgn0052563	CG32563
Q8IR01	FBgn0052564	CG32564
Q9VXB7	FBgn0052568	CG32568
Q8IR09	FBgn0052569	TwdlZ
Q9W1A6	FBgn0034978	CG3257
Q8IR10	FBgn0052570	TwdlY
Q8IR11	FBgn0052571	TwdlX
Q9VXB8	FBgn0052572	CG32572
Q9VXD7	FBgn0052573	CG32573
Q8IR08	FBgn0052574	Twdlalpha
Q9VXG1	FBgn0026575	hang
Q59E43	FBgn0052576	CG32576
Q9VXJ5	FBgn0285879	disco-r
Q8IR17	FBgn0086448	PIG-Q
M9PHA4	FBgn0052579	CG32579
P09775	FBgn0000137	ase
Q8IR22	FBgn0052580	Muc14A
Q8IR26	FBgn0052581	CG32581
Q8T8R7	FBgn0052588	CG32588
Q9VFL0	FBgn0038221	IFT54
Q8IR45	FBgn0052590	CG32590
Q8IR43	FBgn0052591	CG32591
Q9NB71	FBgn0030600	hiw
O61492	FBgn0264078	Flo2
Q9VXZ3	FBgn0052594	be
Q8IR47	FBgn0266710	hog
A8JUW4	FBgn0040153	l(1)G0469
Q8IR50	FBgn0052598	betaNACtes6
Q8IR56	FBgn0260482	CG32599
Q9W1A3	FBgn0021875	Zfrp8
Q9VY33	FBgn0052600	dpr8
B6VQA0	FBgn0052601	betaNACtes3
Q8IR57	FBgn0052603	CG32603
Q9VY54	FBgn0026713	l(1)G0007
Q9NIV2	FBgn0044817	Ste12DOR
Q9V9M8	FBgn0032986	CG3262
Q8IR64	FBgn0052625	CG32625
M9MS55	FBgn0052626	AMPdeam
Q9VYB9	FBgn0052631	CG32631
Q9VYB7	FBgn0086674	Tpst
Q960J9	FBgn0052633	CG32633
Q8IR72	FBgn0052638	CG32638
Q8IR70	FBgn0052639	CG32639
Q9W273	FBgn0034712	Alp8
Q8I079	FBgn0052640	CG32640
Q8I079	FBgn0052641	CG32641
Q8I079	FBgn0052640	CG32640
Q8I079	FBgn0052641	CG32641
Q8IR75	FBgn0052642	CG32642
Q8IR73	FBgn0052643	CG32643
Q8IR74	FBgn0052644	Mur11Da
Q9VYG5	FBgn0052645	CG32645
Q9VYJ3	FBgn0052647	CG32647
Q9VYI6	FBgn0052649	Coq8
Q7JZD3	FBgn0027066	Eb1
Q9VYI7	FBgn0052650	CG32650
Q8IR82	FBgn0052651	CG32651
A8JUU1	FBgn0052654	Sec16
Q8IR83	FBgn0052655	CG32655
X2JBD0	FBgn0052656	Muc11A
P58950	FBgn0045502	Gr10a
Q0KHT7	FBgn0052666	Drak
Q8IR95	FBgn0052667	ssp7
Q8IR94	FBgn0052668	CG32668
P83740	FBgn0052669	CG32669
Q9V9A7	FBgn0042083	Mccc2
Q8IR98	FBgn0052670	Rab9Fb
Q9VZ47	FBgn0052671	Rab9Fa
X2JJA8	FBgn0052672	Atg8a
Q8IRK8	FBgn0052673	Rab9E
Q9W2S1	FBgn0052675	Tango5
Q8SXD4	FBgn0052676	stx
M9PGU7	FBgn0052677	X11Lbeta
Q8IRK9	FBgn0067052	Rab9D
Q8IRL3	FBgn0052679	CG32679
Q9V9A8	FBgn0028579	phtf
Q8IRL0	FBgn0052681	CG32681
Q9W2V2	FBgn0052683	CG32683
M9NF08	FBgn0052685	ZAP3
Q8IRL2	FBgn0052686	CG32686
Q9W2U2	FBgn0052687	CG32687
O18333	FBgn0014009	Rab2
Q8IRL8	FBgn0052693	Gr9a
M9NF03	FBgn0052694	CG32694
Q9W312	FBgn0052695	CG32695
Q59E68	FBgn0028341	Ptpmeg2
Q9W316	FBgn0052698	CARPB
Q0KHU5	FBgn0052699	LPCAT
A1Z6N5	FBgn0033093	CG3270
Q9W337	FBgn0267253	CG32700
Q9W335	FBgn0028327	l(1)G0320
Q9W332	FBgn0052702	Cubn
Q9W354	FBgn0052703	Erk7
Q9W365	FBgn0052704	Ir8a
Q8IRM9	FBgn0052706	CG32706
E1JJG4	FBgn0052707	APC4
Q9W394	FBgn0052708	CG32708
Q7K0P4	FBgn0033088	PGAP3
Q8SXG2	FBgn0262976	lawc
Q8IRN4	FBgn0052712	CG32712
Q8IRN3	FBgn0052713	CG32713
E2QD98	FBgn0261873	sdt
M9PHC0	FBgn0052718	CG32718
Q8IRP4	FBgn0052719	CG32719
Q8IRP3	FBgn0052720	CG32720
Q9Y113	FBgn0027553	NELF-B
Q8IRP5	FBgn0052726	CG32726
Q8IRP6	FBgn0265265	CG32727
Q6NQZ5	FBgn0013732	sced
Q9W3U1	FBgn0052732	Setd3
Q9W3T5	FBgn0052736	CG32736
A1Z6M0	FBgn0042085	Bap170
X2JCT3	FBgn0028360	Cdc7
Q70PP2	FBgn0263968	nonC
Q9W418	FBgn0086558	Ubi-p5E
P83548	FBgn0052750	CG32750
Q8IRR1	FBgn0052751	CG32751
Q9NFP1	FBgn0040069	vanin-like
Q8IRR3	FBgn0052755	CG32755
Q95RH3	FBgn0052756	CG32756
F3YD98	FBgn0052758	Snx27
Q8IRR6	FBgn0052762	CG32762
Q7KVW2	FBgn0026702	Pop1
Q9W4E8	FBgn0052767	CG32767
Q8IQ00	FBgn0031518	CG3277
X2JIB5	FBgn0052772	CG32772
Q9W4M2	FBgn0052774	Muc4B
O97422	FBgn0066114	GlcAT-I
Q9V9M6	FBgn0032988	Tif-IA
Q8IRS9	FBgn0052783	Gem4c
Q8IRT0	FBgn0052786	Gem4b
Q8IRT6	FBgn0021738	Crg-1
C4NYP8	FBgn0260484	HIP
Q9W0N6	FBgn0260862	Vti1a
M9PGE1	FBgn0052791	DIP-alpha
Q0KHW3	FBgn0052792	ppk8
Q9W4V0	FBgn0052793	CG32793
Q9U1M2	FBgn0040384	CG32795
A8JUV7	FBgn0040388	boi
Q8IRW0	FBgn0052797	CG32797
Q9W545	FBgn0052801	CG32801
M9PIQ9	FBgn0052803	CG32803
Q8IRX1	FBgn0052806	CG32806
Q8IRX5	FBgn0052808	CG32808
Q7KW14	FBgn0023531	CG32809
Q9VGG0	FBgn0260741	CG3281
Q9W579	FBgn0025394	inc
R9PY44	FBgn0052811	CG32811
O77424	FBgn0025642	CG32812
Q9W5A0	FBgn0052813	CG32813
E4NKK8	FBgn0052814	CG32814
Q8IRY5	FBgn0052815	CG32815
B7Z110	FBgn0052816	CG32816
Q8IRY8	FBgn0052817	CG32817
Q8I0K9	FBgn0052819	CG32819
Q8I0K9	FBgn0052820	CG32820
Q8I0K9	FBgn0052819	CG32819
Q8I0K9	FBgn0052820	CG32820
Q8IRZ3	FBgn0052823	Sdic3
Q8IRZ3	FBgn0283432	SdicA
Q8IRZ3	FBgn0283433	SdicB
Q8IRZ5	FBgn0062565	Or19b
Q8IPI9	FBgn0052829	CG32829
P21914	FBgn0014028	SdhB
Q8INZ7	FBgn0052832	CG32832
Q8MLS8	FBgn0052833	CG32833
A0A0B4JCV5	FBgn0052834	CG32834
P36958	FBgn0004855	RpII15
A0A0B4KEN5	FBgn0052843	Dh31-R
Q8IRJ5	FBgn0052845	CG32845
M9MSK1	FBgn0052846	CG32846
Q8IQM1	FBgn0052847	CG32847
O17444	FBgn0270928	VAChT
Q9NFT7	FBgn0042710	Hex-t2
Q9VQP1	FBgn0031522	CG3285
L0MLM5	FBgn0052850	CG32850
P83119	FBgn0045442	mthl12
Q8I0J3	FBgn0044511	mRpS21
Q8INC0	FBgn0052855	CG32855
Q8INC7	FBgn0052856	CG32856
Q8SY96	FBgn0052857	CG32857
Q8SY96	FBgn0053502	CG33502
Q8SY96	FBgn0285970	CG32500
Q24524	FBgn0003447	sn
Q9W5B3	FBgn0040368	eIF4E7
Q9VPA5	FBgn0037030	CG3288
A8DYL7	FBgn0016053	pgc
Q9VQQ0	FBgn0016698	Ptpa
Q9W274	FBgn0283480	Alp2
A1Z995	FBgn0028991	seq
E1JJR3	FBgn0020261	pcm
Q9W275	FBgn0034710	Alp7
Q9I7K4	FBgn0037731	CG18542
Q9I7K4	FBgn0052939	CG32939
Q9VR26	FBgn0031628	CG3294
Q0KID3	FBgn0052944	CG32944
Q86BB7	FBgn0052945	CG32945
Q9W2N5	FBgn0034573	CG3295
Q9Y1A7	FBgn0002778	mnd
Q86BK9	FBgn0052971	CG32971
Q7KT97	FBgn0028875	nAChRalpha5
Q8MKW7	FBgn0028426	RNaseZ
Q0E8S1	FBgn0052982	CG32982
Q9VLH6	FBgn0052983	CG32983
Q86BL8	FBgn0052984	CG32984
Q86BL9	FBgn0052985	CG32985
Q86BM4	FBgn0052986	CG32986
Q86BM3	FBgn0052987	CG32987
Q86BM2	FBgn0052988	CG32988
O46037	FBgn0004397	Vinc
Q86BM8	FBgn0053002	mRpL27
B7Z017	FBgn0053003	CG33003
Q9VDC0	FBgn0038878	CG3301
A1Z8X9	FBgn0053012	CG33012
A0A0B4LGM7	FBgn0053017	CG33017
Q26377	FBgn0013767	Crz
Q9VF14	FBgn0038381	EndoU
Q8IQF1	FBgn0263241	Mocs1
Q9V9S0	FBgn0032949	Lamp1
Q86BI8	FBgn0053051	CG33051
Q8IQQ4	FBgn0053052	Gorab
Q8IPU1	FBgn0053054	CG33054
Q86BG8	FBgn0053056	CG33056
Q86BH3	FBgn0053057	CG33057
Q9VT16	FBgn0036016	CG3306
Q86BI5	FBgn0053060	CG33060
Q86BI6	FBgn0053061	CG33061
Q8MQY0	FBgn0053062	CG33062
Q9VFK6	FBgn0011474	PR-Set7
Q9VDC1	FBgn0038877	CG3308
X2JAJ7	FBgn0053080	CG33080
Q86B65	FBgn0053082	Rpp21
Q8IMQ6	FBgn0041224	Gr97a
A0A0B4KFD1	FBgn0053087	LRP1
X2JCL3	FBgn0029756	CG3309
Q7KT91	FBgn0028916	CG33090
Q8T0Q8	FBgn0053092	P5CDh2
Q86B82	FBgn0053093	CG33093
A0A0B4KH28	FBgn0053094	Synd
Q9VBX7	FBgn0053095	CG33095
Q9VBX8	FBgn0053096	CG33096
Q9VG88	FBgn0053098	CG33098
Q86B83	FBgn0053099	CG33099
E1JIV5	FBgn0053100	eIF4EHP
P54351	FBgn0266464	Nsf2
Q9NFT9	FBgn0042711	Hex-t1
Q868Z9	FBgn0003137	Ppn
Q9I7K5	FBgn0069242	eca
Q86BA5	FBgn0053105	p24-2
Q9VCA8	FBgn0043884	mask
Q9VCY2	FBgn0053107	CG33107
Q9VCE8	FBgn0053108	CG33108
Q9VFL9	FBgn0053109	CG33109
Q9VCY5	FBgn0053110	CG33110
Q9VCH2	FBgn0053111	CG33111
E1JHT6	FBgn0053113	Rtnl1
Q07553	FBgn0010197	Gyc32E
Q9VJU8	FBgn0028542	NimB4
Q9VIU4	FBgn0053116	CG33116
Q8INV7	FBgn0053117	Victoria
M9PFV3	FBgn0027929	NimB1
Q9W4D2	FBgn0014024	Rnp4F
Q9VJ41	FBgn0053120	CG33120
Q8IQ05	FBgn0015376	cutlet
Q9VQR8	FBgn0284253	LeuRS
Q9VQ85	FBgn0053124	CG33124
M9PBW8	FBgn0053125	CG33125
M9PBN2	FBgn0053126	NLaz
Q86B58	FBgn0053127	CG33127
Q9VQ12	FBgn0053128	CG33128
Q9VKM7	FBgn0053129	CG33129
Q9VGE3	FBgn0037980	DCAF12
A1ZAU8	FBgn0263197	Patronin
A1Z6J2	FBgn0033052	SCAP
Q9U405	FBgn0001133	grau
Q9V9C8	FBgn0029131	Debcl
B7YZR4	FBgn0033494	KCNQ
A0A0B4LG03	FBgn0053136	CG33136
A1Z993	FBgn0053137	CG33137
A1Z992	FBgn0053138	AGBE
Q7K0Q2	FBgn0284254	Impbeta11
P46223	FBgn0014026	RpL7A
Q7JRQ1	FBgn0053140	CG33140
Q0E9F2	FBgn0024189	sns
A0A0B4LGA0	FBgn0053143	CG33143
Q7JR34	FBgn0053144	CG33144
A1Z8R6	FBgn0053145	GalT1
Q8MRE7	FBgn0053147	Hs3st-A
Q8IFW4	FBgn0029752	TrxT
Q9W1N5	FBgn0041234	Gr59f
Q9W1N6	FBgn0041233	Gr59e
Q9W2P8	FBgn0008636	hbn
Q0E985	FBgn0053155	CG33155
A8DYC9	FBgn0053156	CG33156
Q9VV61	FBgn0053158	CG33158
Q9VZT0	FBgn0053159	CG33159
Q9VZS9	FBgn0053160	CG33160
Q9VSN9	FBgn0011509	SrpRbeta
Q9W0E9	FBgn0020248	stet
Q8SY72	FBgn0053169	CG33169
Q29QY7	FBgn0053170	CG33170
Q86B53	FBgn0053172	CG33172
B7Z150	FBgn0261244	inaE
Q86B54	FBgn0053177	CG33177
X2JF29	FBgn0053178	CG33178
Q1EC42	FBgn0053179	beat-IIIb
Q94521	FBgn0019643	AANAT1
Q9GQN0	FBgn0053180	Ranbp16
A8JV32	FBgn0053181	CG33181
Q9V6L0	FBgn0053182	Kdm4B
P31396	FBgn0000448	Hr3
Q86BA8	FBgn0053189	CG33189
Q24216	FBgn0263237	Cdk7
Q961W9	FBgn0053191	CG33191
Q8I9B4	FBgn0053192	MtnD
Q9VCR6	FBgn0053193	sav
Q8T0X8	FBgn0053194	CheA29a
M9NER8	FBgn0053196	dpy
O16011	FBgn0265487	mbl
Q86BE9	FBgn0053198	pen-2
A1Z7L4	FBgn0053199	CG33199
O18332	FBgn0285937	Rab1
Q9N2P6	FBgn0053200	VepD
Q8MRE6	FBgn0053202	dpr11
B7Z0R3	FBgn0053203	CG33203
Q9VXU1	FBgn0027287	Gmap
Q8MY02	FBgn0053207	pxb
Q86BA1	FBgn0053208	Mical
O77134	FBgn0038224	ATPsynE
Q9VAY8	FBgn0053213	CG33213
M9PIG4	FBgn0264561	Glg1
Q8MS38	FBgn0053217	CG33217
P15215	FBgn0267348	LanB2
Q7KVT0	FBgn0053223	CG33223
A0A0B4LG43	FBgn0053225	CG33225
Q7KVM8	FBgn0069056	CG33226
Q7KVF6	FBgn0261373	CG33228
Q95RM0	FBgn0053229	CG33229
Q9W4E0	FBgn0029750	CG3323
Q7KVB0	FBgn0053230	CG33230
Q86NP5	FBgn0053233	CG33233
A8JNI7	FBgn0053234	CG33234
Q7KV35	FBgn0030307	CG33235
Q7KV12	FBgn0003523	Ste
Q7KV12	FBgn0053236	Ste:CG33236
Q7KV12	FBgn0053240	Ste:CG33240
Q7KV12	FBgn0053244	Ste:CG33244
Q7KV12	FBgn0053245	Ste:CG33245
Q7KV13	FBgn0053237	Ste:CG33237
Q7KV14	FBgn0053238	Ste:CG33238
Q7KV15	FBgn0053239	Ste:CG33239
Q7KV15	FBgn0053241	Ste:CG33241
Q03042	FBgn0000442	Pkg21D
Q7KV12	FBgn0003523	Ste
Q7KV12	FBgn0053236	Ste:CG33236
Q7KV12	FBgn0053240	Ste:CG33240
Q7KV12	FBgn0053244	Ste:CG33244
Q7KV12	FBgn0053245	Ste:CG33245
Q7KV15	FBgn0053239	Ste:CG33239
Q7KV15	FBgn0053241	Ste:CG33241
Q7KV18	FBgn0053242	Ste:CG33242
Q7KV19	FBgn0053243	Ste:CG33243
Q7KV12	FBgn0003523	Ste
Q7KV12	FBgn0053236	Ste:CG33236
Q7KV12	FBgn0053240	Ste:CG33240
Q7KV12	FBgn0053244	Ste:CG33244
Q7KV12	FBgn0053245	Ste:CG33245
Q7KV12	FBgn0003523	Ste
Q7KV12	FBgn0053236	Ste:CG33236
Q7KV12	FBgn0053240	Ste:CG33240
Q7KV12	FBgn0053244	Ste:CG33244
Q7KV12	FBgn0053245	Ste:CG33245
Q7KV22	FBgn0053246	Ste:CG33246
Q7KV23	FBgn0053247	Ste:CG33247
O77135	FBgn0003480	spn-B
Q7KUZ2	FBgn0065035	AlkB
Q7KUX0	FBgn0053252	CG33252
M9PI06	FBgn0030992	CG33253
Q7KUP8	FBgn0053257	CG33257
Q2PDZ1	FBgn0053258	CG33258
Q7KUM2	FBgn0036495	CG33259
Q9VQN8	FBgn0031519	Fign
Q0E8E7	FBgn0053260	Tsen34
Q08605	FBgn0013263	Trl
Q7KUI9	FBgn0053262	CG33262
Q7KUJ0	FBgn0053263	CG33263
P82985	FBgn0041622	Or69a
Q7KUI0	FBgn0053265	Muc68E
Q7KUG7	FBgn0053267	CG33267
Q7KUG0	FBgn0036177	CG33268
Q7KUG2	FBgn0053269	CG33269
Q7KU30	FBgn0020445	E23
Q7KUG3	FBgn0053270	CG33270
Q7KUG4	FBgn0053271	CG33271
Q7KUG8	FBgn0053272	CG33272
Q7KUD5	FBgn0044048	Ilp5
M9PEF7	FBgn0035802	Pura
Q7KU86	FBgn0053276	Urm1
Q8SY49	FBgn0053278	CG33278
Q9W1A0	FBgn0034985	CG3328
Q8IPZ9	FBgn0053281	CG33281
Q9VQP0	FBgn0053282	CG33282
Q7KTX0	FBgn0053284	CG33284
Q7KTX1	FBgn0053285	CG33285
Q7KTX4	FBgn0053286	CG33286
B7Z095	FBgn0053287	CG33287
Q7KTW3	FBgn0053288	CG33288
M9NDF3	FBgn0053289	ppk5
Q9VUJ1	FBgn0023174	Prosbeta2
Q7KTW1	FBgn0053290	CG33290
Q95TA8	FBgn0053293	CG33293
Q7KTJ8	FBgn0053296	CG33296
Q7KTG5	FBgn0032120	CG33298
M9MSH6	FBgn0053299	CG33299
Q9VB43	FBgn0039511	CG3330
Q7KTF6	FBgn0053300	Muc30E
Q9VL46	FBgn0053301	CG33301
Q8IPD5	FBgn0053302	Cpr31A
Q76NQ0	FBgn0053303	CG33303
Q76NQ1	FBgn0041723	rho-5
Q7KTA2	FBgn0053306	CG33306
Q961T9	FBgn0053307	CG33307
Q7KT82	FBgn0250834	CG33308
Q7KT81	FBgn0053309	CG33309
Q9VDC6	FBgn0000527	e
Q7KT77	FBgn0053310	CG33310
X2JD17	FBgn0031514	OtopLb
Q7KT13	FBgn0067312	CheB38a
Q7KT14	FBgn0067311	CheB38b
Q7KT15	FBgn0053322	CG33322
A0A0B4KFD8	FBgn0037475	Fer1
Q7KSU5	FBgn0053325	CG33325
Q7KSK1	FBgn0053329	Sp212
O44081	FBgn0259937	Nop60B
Q8INF2	FBgn0067628	CG33331
Q9VFF2	FBgn0067629	CG33332
Q7KSF2	FBgn0053333	CG33333
Q9N6D8	FBgn0039044	p53
Q7KS40	FBgn0053337	CG33337
P83100	FBgn0267339	p38c
Q9VC85	FBgn0053339	CG33339
Q8IMW8	FBgn0053340	CG33340
Q7KS23	FBgn0053341	CG33341
Q7KS21	FBgn0086610	CG33342
Q868T3	FBgn0039396	CCAP-R
Q7KRX0	FBgn0053346	CG33346
Q3ZAK6	FBgn0053348	CheB42a
A1Z6S4	FBgn0053349	ppk25
Q9VT19	FBgn0036018	CG3335
A1Z6S2	FBgn0066292	CheB42c
A1Z6S1	FBgn0066293	CheB42b
Q9VDC8	FBgn0038871	CG3337
Q9VQY8	FBgn0031598	Vps53
Q0KI05	FBgn0039510	CG3339
P07247	FBgn0001325	Kr
Q9W3Z4	FBgn0029874	CG3342
Q9W0N8	FBgn0035154	hiro
Q9VPM3	FBgn0031240	CG3345
A0A0B4LFV5	FBgn0053453	CG33453
A1ZBI1	FBgn0053454	CG33454
A1ZAG8	FBgn0053458	CG33458
A1ZAG9	FBgn0053459	CG33459
Q9W4I7	FBgn0025739	pon
Q4V532	FBgn0053460	CG33460
A1ZA41	FBgn0053461	CG33461
A1ZA42	FBgn0053462	CG33462
A1ZA59	FBgn0053463	CG33463
A1ZA51	FBgn0053465	CG33465
A0A0B4LFH4	FBgn0259878	Fs
A0A0B4LFG8	FBgn0053467	CG33467
A1Z9S4	FBgn0053468	CG33468
A1Z9S3	FBgn0053469	CG33469
Q9VQN2	FBgn0031513	CG3347
Q8ML70	FBgn0053470	CG33470
Q8ML70	FBgn0283462	IMPPP
B5A5T4	FBgn0260499	qvr
Q8MR37	FBgn0040765	luna
A1Z891	FBgn0053474	CG33474
A1Z887	FBgn0053475	CG33475
A1Z886	FBgn0053476	CG33476
A1Z885	FBgn0053477	CG33477
Q9V3N2	FBgn0026388	Or46a
Q9VB45	FBgn0040609	CG3348
