# submitted_item	validated_id	current_symbol
A0A0B4KEI0	FBgn0033020	COX4L
Q9VM58	FBgn0031877	Hmgcl
Q4V5J3	FBgn0038431	CG10405
Q9VEV5	FBgn0038426	mRpS33
Q9VEZ6	FBgn0038395	CG10407
Q0KIA8	FBgn0037440	CRAT
Q9VJ75	FBgn0032689	CG10413
Q9VJ73	FBgn0032691	Atac2
O96880	FBgn0015828	TfIIEalpha
Q7K4Q5	FBgn0033021	CG10417
Q9VTW6	FBgn0036277	CG10418
Q9VVX0	FBgn0036850	Gem2
Q9VBV5	FBgn0039296	Sil1
P22745	FBgn0000158	bam
Q9VBU9	FBgn0039300	RpS27
Q9VVW8	FBgn0036848	Naxd
Q9VBU5	FBgn0039304	CG10425
Q9VTW2	FBgn0036273	INPP5E
Q9VJ34	FBgn0032724	CG10428
Q9VJ27	FBgn0032730	CG10431
Q9W2F6	FBgn0034638	CG10433
Q9VHX1	FBgn0037539	CG10435
P54191	FBgn0011279	Obp69a
Q9VZZ9	FBgn0016794	dos
D5SHR0	FBgn0034636	twz
P16621	FBgn0000464	Lar
Q8SWV5	FBgn0034494	CG10444
Q9VHY2	FBgn0037531	CG10445
Q9VJ16	FBgn0032741	Sidpn
Q8ST61	FBgn0032816	Nf-YB
Q9V3A4	FBgn0002022	Catsup
A1Z7Y4	FBgn0033440	CG10459
P09089	FBgn0004053	zen
A1ZBK7	FBgn0034443	cer
Q2PDT3	FBgn0032815	CG10462
Q9VIS4	FBgn0032819	CG10463
Q7JZ62	FBgn0033017	CG10465
Q9VIS0	FBgn0032822	CG10466
Q9VRU1	FBgn0035679	CG10467
Q9VRU0	FBgn0035678	CG10469
Q9VJ11	FBgn0032746	CG10470
Q9VRT2	FBgn0035670	CG10472
Q9VJ12	FBgn0263198	Acn
A1ZBI7	FBgn0034427	CG10474
Q9VRS9	FBgn0035667	Jon65Ai
A1ZBI6	FBgn0034426	AANATL5
Q9VRS3	FBgn0035661	CG10477
Q9VRS0	FBgn0035657	alphaKap4
M9PEA4	FBgn0035656	CG10479
P09090	FBgn0004054	zen2
P25171	FBgn0002638	Rcc1
Q7KT29	FBgn0032827	CG10481
M9ND52	FBgn0035647	CG10486
Q9VTX7	FBgn0000625	eyg
Q9VRQ7	FBgn0035644	PolE2
Q7K4C7	FBgn0041342	Pcyt1
Q94918	FBgn0003984	vn
Q9VJ08	FBgn0032748	CG10492
Q9VJ07	FBgn0032749	Phlpp
Q95TZ0	FBgn0034634	CG10494
Q9VJ06	FBgn0032750	CG10495
Q9W2G5	FBgn0034631	TAF1C-like
P49415	FBgn0010415	Sdc
P23573	FBgn0004107	Cdk2
P18486	FBgn0000075	amd
E3CTS5	FBgn0028427	Ilk
Q9W2I5	FBgn0034612	CG10505
Q9Y105	FBgn0027090	GlnRS
M9PFU5	FBgn0037060	CG10508
Q9VP67	FBgn0037059	CG10510
Q9VP68	FBgn0037057	CG10512
Q9VBT7	FBgn0039311	CG10513
Q9VBT6	FBgn0039312	CG10514
Q9VUW0	FBgn0036549	CG10516
P22812	FBgn0003882	tub
Q24568	FBgn0015774	NetB
M9PI41	FBgn0002466	sti
Q7KTX7	FBgn0041100	park
Q9W2M4	FBgn0034583	CG10527
M9PG97	FBgn0004811	fs(2)ltoPP43
P91942	FBgn0020640	Lcp65Ae
C0HL64	FBgn0020638	Lcp65Ag1
Q9W2M5	FBgn0034582	Cht9
P92194	FBgn0020639	Lcp65Af
C0HL64	FBgn0020638	Lcp65Ag1
Q9VGK7	FBgn0037926	Elp1
P25123	FBgn0004244	Rdl
Q9VIS1	FBgn0032821	CdGAPr
Q94533	FBgn0283472	S6k
Q9W2N0	FBgn0034577	cpa
Q8T3Z0	FBgn0035638	Tektin-C
Q9VRP9	FBgn0086694	Bre1
A0A0B4KFE1	FBgn0034570	CG10543
P26308	FBgn0001105	Gbeta13F
Q9VRP8	FBgn0035636	Cralbp
Q9VBS7	FBgn0039321	CG10550
Q9VBS4	FBgn0039324	CG10553
Q9W3G1	FBgn0030034	CG10555
Q9VBS5	FBgn0039323	CG10559
A8JQT4	FBgn0087012	5-HT2A
Q9VBS3	FBgn0039325	CG10560
P18487	FBgn0002036	CG10561
Q961Q8	FBgn0039326	CG10562
Q9VIZ2	FBgn0086445	l(2)37Cd
Q9VP76	FBgn0024150	Ac78C
Q9VP77	FBgn0037051	CG10565
Q9VP78	FBgn0037050	ICA69
Q8IH24	FBgn0037262	MED31
Q9VJ49	FBgn0040992	CG10570
Q24248	FBgn0015904	ara
Q9VT57	FBgn0015618	Cdk8
Q9VP79	FBgn0020294	ko
A8JNP7	FBgn0028429	I-2
Q9VRP4	FBgn0035632	Ppat-Dpck
Q9VRP2	FBgn0035630	CG10576
Q24133	FBgn0263106	DnaJ-1
Q7KM08	FBgn0005640	Eip63E
A0A0B4K691	FBgn0022981	rpk
Q24342	FBgn0011591	fng
Q9VP84	FBgn0037046	CG10581
E1JI58	FBgn0028402	Sin
Q9VRN6	FBgn0035627	Sse
Q9VP86	FBgn0037045	CG10584
Q9VP87	FBgn0037044	Pdss2
Q9VP95	FBgn0037036	Sems
B7Z091	FBgn0037039	CG10587
Q9VP94	FBgn0037037	CG10588
Q9VP96	FBgn0037035	CG10589
Q9VN44	FBgn0087013	Karybeta3
Q9VRN1	FBgn0035622	TM9SF3
Q9VRN0	FBgn0035621	CG10591
Q9VRM8	FBgn0035619	Alp10
Q9VLJ6	FBgn0016122	Acer
Q9VRM7	FBgn0003486	spo
X2JCI8	FBgn0015766	Msr-110
B7Z101	FBgn0030832	CG10597
Q9VX65	FBgn0003057	CG10598
B7YZX6	FBgn0032717	CG10600
M9PI45	FBgn0014343	mirr
Q9VJ39	FBgn0032721	CG10602
Q9VJ38	FBgn0032720	mRpL13
Q04787	FBgn0000529	bsh
P54269	FBgn0015919	caup
Q9VNB5	FBgn0037324	Orco
Q9U6M0	FBgn0028436	ECSIT
Q9VNB3	FBgn0037322	Or83a
Q9VTX8	FBgn0036286	CG10616
Q9VYE1	FBgn0261085	Syt12
Q107I8	FBgn0045761	CHKov1
Q9VJ37	FBgn0003896	tup
Q9VTZ5	FBgn0036299	Tsf2
Q9VJ32	FBgn0032726	CG10621
Q9V470	FBgn0029118	ScsbetaG
Q9VJ31	FBgn0032727	CG10623
Q9VRM3	FBgn0010894	sinu
Q86NR7	FBgn0035612	frm
Q9VRM0	FBgn0035610	Lkr
Q9VTZ4	FBgn0036298	nst
Q9I7M2	FBgn0032818	CG10628
P29993	FBgn0010051	Itpr
Q9VRL8	FBgn0035608	blanks
Q9VIS5	FBgn0032817	CG10631
B7Z0A9	FBgn0036302	sowah
Q9VRL4	FBgn0035604	Ir64a
Q9VRL3	FBgn0035603	Pfdn4
X2J946	FBgn0015772	Nak
Q9VTY2	FBgn0036290	CG10638
Q9VJ28	FBgn0032729	L2HGDH
Q24090	FBgn0011715	Snr1
Q9VRL1	FBgn0035601	Uev1A
Q9VJ26	FBgn0032731	Swip-1
Q9VRK9	FBgn0004380	Klp64D
Q9VRK8	FBgn0016031	lama
Q9VTY5	FBgn0036292	CG10646
Q9W3B2	FBgn0030067	Rbm13
Q94522	FBgn0004888	Scsalpha1
Q9VJ22	FBgn0046302	CG10650
Q9VIN6	FBgn0032853	CG10651
Q9VJ19	FBgn0086710	RpL30
Q24185	FBgn0001202	hook
M9PFA9	FBgn0036294	CG10654
Q9VJ10	FBgn0002021	l(2)37Bb
Q9VTY1	FBgn0036289	CG10657
Q9VIQ4	FBgn0014000	Hf
Q9VIQ1	FBgn0032839	AANATL3
M9PI40	FBgn0036288	CG10660
A8JNS0	FBgn0036287	CG10663
Q9VIQ8	FBgn0032833	COX4
O16810	FBgn0286788	Orc1
Q9VBR9	FBgn0039329	CG10669
Q9VRJ0	FBgn0263831	Gen
Q9VRJ2	FBgn0035586	Fitm
Q9VRJ4	FBgn0035588	CG10672
Q9VRJ6	FBgn0035590	Prpk
Q9VRJ8	FBgn0035592	CG10674
Q9VBS0	FBgn0039328	CHKov2
Q9VJ33	FBgn0032725	Nedd8
Q9VIQ5	FBgn0032836	CG10680
Q9VTY4	FBgn0036291	CG10681
Q9VTY6	FBgn0264848	vih
